=== Re-evaluation on test set ===

User supplied test set
Relation:     Standardized_blind(1)
Instances:     unknown (yet). Reading incrementally
Attributes:   29

=== Predictions on user test set ===

    inst#     actual  predicted error prediction
        1        1:?        2:N       0.984 
        2        1:?        2:N       0.771 
        3        1:?        2:N       0.96 
        4        1:?        2:N       0.965 
        5        1:?        2:N       0.988 
        6        1:?        1:P       0.507 
        7        1:?        2:N       0.855 
        8        1:?        2:N       0.965 
        9        1:?        1:P       0.58 
       10        1:?        1:P       0.73 
       11        1:?        2:N       0.857 
       12        1:?        1:P       0.759 
       13        1:?        2:N       0.784 
       14        1:?        2:N       0.991 
       15        1:?        2:N       0.802 
       16        1:?        2:N       0.794 
       17        1:?        1:P       0.669 
       18        1:?        2:N       0.872 
       19        1:?        2:N       0.885 
       20        1:?        1:P       0.566 
       21        1:?        2:N       0.935 
       22        1:?        2:N       0.837 
       23        1:?        2:N       0.937 
       24        1:?        2:N       0.984 
       25        1:?        1:P       0.79 
       26        1:?        2:N       0.969 
       27        1:?        2:N       0.997 
       28        1:?        2:N       0.952 
       29        1:?        1:P       0.928 
       30        1:?        2:N       0.89 
       31        1:?        2:N       0.997 
       32        1:?        2:N       0.975 
       33        1:?        2:N       0.961 
       34        1:?        2:N       0.977 
       35        1:?        2:N       0.5 
       36        1:?        2:N       0.548 
       37        1:?        2:N       0.964 
       38        1:?        2:N       0.686 
       39        1:?        2:N       0.99 
       40        1:?        1:P       0.818 
       41        1:?        2:N       0.551 
       42        1:?        1:P       0.826 
       43        1:?        2:N       0.601 
       44        1:?        2:N       0.952 
       45        1:?        2:N       0.511 
       46        1:?        2:N       0.992 
       47        1:?        2:N       0.994 
       48        1:?        2:N       0.886 
       49        1:?        2:N       0.832 
       50        1:?        2:N       0.834 
       51        1:?        2:N       0.713 
       52        1:?        1:P       0.699 
       53        1:?        2:N       0.809 
       54        1:?        1:P       0.893 
       55        1:?        2:N       0.999 
       56        1:?        2:N       0.751 
       57        1:?        1:P       0.832 
       58        1:?        2:N       0.926 
       59        1:?        2:N       0.935 
       60        1:?        1:P       0.866 
       61        1:?        2:N       0.798 
       62        1:?        2:N       0.747 
       63        1:?        2:N       0.904 
       64        1:?        2:N       0.714 
       65        1:?        2:N       0.977 
       66        1:?        2:N       0.968 
       67        1:?        2:N       0.969 
       68        1:?        1:P       0.708 
       69        1:?        2:N       0.903 
       70        1:?        2:N       0.994 
       71        1:?        2:N       0.835 
       72        1:?        2:N       0.992 
       73        1:?        2:N       0.984 
       74        1:?        1:P       0.769 
       75        1:?        2:N       0.952 
       76        1:?        2:N       0.992 
       77        1:?        1:P       0.908 
       78        1:?        2:N       0.987 
       79        1:?        2:N       0.776 
       80        1:?        2:N       0.889 
       81        1:?        2:N       0.642 
       82        1:?        2:N       0.993 
       83        1:?        1:P       0.6 
       84        1:?        2:N       0.999 
       85        1:?        2:N       0.979 
       86        1:?        2:N       0.587 
       87        1:?        1:P       0.582 
       88        1:?        2:N       0.98 
       89        1:?        2:N       0.98 
       90        1:?        1:P       0.708 
       91        1:?        1:P       0.97 
       92        1:?        2:N       0.989 
       93        1:?        2:N       0.973 
       94        1:?        2:N       0.965 
       95        1:?        2:N       0.984 
       96        1:?        2:N       0.835 
       97        1:?        2:N       0.937 
       98        1:?        2:N       0.725 
       99        1:?        2:N       0.939 
      100        1:?        2:N       0.873 
      101        1:?        2:N       0.994 
      102        1:?        2:N       0.872 
      103        1:?        2:N       0.825 
      104        1:?        2:N       0.992 
